platform,category,amount,transaction_type,location,hour,is_peak,is_urban,fee,speed_seconds,success,flagged
AzamPay/Selcom,aggregator,51500.0,Bank Transfer,Kigoma,10,0,0,309,22,1,0
AzamPay/Selcom,aggregator,14800.0,Merchant Payment,Tanga,17,1,0,300,26,0,0
TTCL Pesa,mobile,20800.0,Mobile Money Transfer,Zanzibar,15,0,0,200,26,1,0
NMB Bank,bank,145000.0,Bank Transfer,Arusha,15,0,1,1000,27,1,0
M-PESA,mobile,172400.0,Salary Payment,Kigoma,13,1,0,1138,18,1,0
NMB Bank,bank,99500.0,Salary Payment,Dodoma,12,1,0,1000,28,1,0
Mixx by Yas,mobile,41100.0,Mobile Money Transfer,Dar es Salaam,16,0,1,279,19,1,0
Mixx by Yas,mobile,136300.0,Bill Payment,Iringa,23,0,0,927,20,1,0
Halo-Pesa,mobile,121600.0,Airtime/Bundles,Kigoma,0,0,0,876,24,1,0
M-PESA,mobile,13800.0,Mobile Money Transfer,Dodoma,0,0,0,200,15,1,0
Mixx by Yas,mobile,268800.0,Bill Payment,Arusha,17,1,1,1828,20,1,0
M-PESA,mobile,15300.0,Airtime/Bundles,Morogoro,13,1,0,200,15,1,0
TTCL Pesa,mobile,29500.0,Bill Payment,Zanzibar,17,1,0,221,31,1,0
Halo-Pesa,mobile,4900.0,Mobile Money Transfer,Arusha,7,1,1,200,28,1,0
NMB Bank,bank,21400.0,Salary Payment,Morogoro,19,1,0,1000,34,1,0
Mixx by Yas,mobile,115000.0,Airtime/Bundles,Dodoma,14,0,0,782,19,1,0
TTCL Pesa,mobile,19900.0,Bill Payment,Arusha,14,0,1,200,25,1,0
NBC Bank,bank,84000.0,Bill Payment,Kigoma,21,0,0,1000,30,1,0
AzamPay/Selcom,aggregator,41900.0,Bill Payment,Iringa,21,0,0,300,21,1,0
Mixx by Yas,mobile,28400.0,Airtime/Bundles,Morogoro,15,0,0,200,18,1,0
M-PESA,mobile,59400.0,Airtime/Bundles,Kigoma,7,1,0,392,16,1,0
TTCL Pesa,mobile,5500.0,Mobile Money Transfer,Kigoma,0,0,0,200,24,1,0
Bank Transfers (TIPS/EFT),bank,13800.0,Salary Payment,Iringa,11,0,0,1500,47,1,0
NBC Bank,bank,6800.0,Merchant Payment,Mbeya,7,1,0,1000,29,1,0
M-PESA,mobile,13400.0,Airtime/Bundles,Tanga,8,1,0,200,19,1,0
Airtel Money,mobile,29900.0,Bill Payment,Dar es Salaam,14,0,1,209,22,1,0
M-PESA,mobile,5500.0,Salary Payment,Tanga,3,0,0,200,17,1,0
TTCL Pesa,mobile,6900.0,Bill Payment,Mwanza,20,1,1,200,30,1,0
AzamPay/Selcom,aggregator,31200.0,Bank Transfer,Tanga,0,0,0,300,20,1,0
TTCL Pesa,mobile,33000.0,Merchant Payment,Kigoma,13,1,0,248,29,0,0
NMB Bank,bank,11600.0,Mobile Money Transfer,Dar es Salaam,22,0,1,1000,28,1,0
CRDB Bank,bank,44000.0,Bill Payment,Mbeya,21,0,0,1000,26,1,0
Airtel Money,mobile,17200.0,Mobile Money Transfer,Mwanza,22,0,1,200,22,1,0
TTCL Pesa,mobile,46200.0,Merchant Payment,Dar es Salaam,16,0,1,346,25,1,0
CRDB Bank,bank,9800.0,Bill Payment,Mbeya,9,0,0,1000,25,1,0
TTCL Pesa,mobile,15100.0,Airtime/Bundles,Kigoma,23,0,0,200,26,1,0
M-PESA,mobile,81600.0,Merchant Payment,Zanzibar,6,0,0,539,16,1,0
Halo-Pesa,mobile,40300.0,Bank Transfer,Arusha,16,0,1,290,24,1,0
Bank Transfers (TIPS/EFT),bank,70300.0,Bank Transfer,Morogoro,1,0,0,1500,47,1,0
CRDB Bank,bank,4600.0,Airtime/Bundles,Tanga,6,0,0,1000,25,1,0
Mixx by Yas,mobile,18300.0,Merchant Payment,Dar es Salaam,11,0,1,200,18,1,0
Halo-Pesa,mobile,30900.0,Merchant Payment,Morogoro,18,1,0,222,28,1,0
Airtel Money,mobile,156800.0,Airtime/Bundles,Mbeya,9,0,0,1098,20,1,0
Mixx by Yas,mobile,63300.0,Salary Payment,Zanzibar,21,0,0,430,19,1,0
NBC Bank,bank,7300.0,Salary Payment,Dar es Salaam,5,0,1,1000,29,1,0
AzamPay/Selcom,aggregator,62400.0,Salary Payment,Dodoma,13,1,0,374,24,0,0
CRDB Bank,bank,4800.0,Mobile Money Transfer,Iringa,6,0,0,1000,26,1,0
NBC Bank,bank,108800.0,Bill Payment,Morogoro,12,1,0,1000,35,1,0
NMB Bank,bank,69600.0,Airtime/Bundles,Mbeya,9,0,0,1000,27,1,0
Airtel Money,mobile,39800.0,Airtime/Bundles,Dar es Salaam,20,1,1,279,22,1,0
CRDB Bank,bank,24300.0,Salary Payment,Zanzibar,18,1,0,1000,27,1,0
NMB Bank,bank,5000.0,Salary Payment,Mwanza,16,0,1,1000,27,1,0
Mixx by Yas,mobile,103000.0,Bill Payment,Tanga,10,0,0,700,18,1,0
Halo-Pesa,mobile,2100.0,Salary Payment,Iringa,21,0,0,200,22,1,0
Bank Transfers (TIPS/EFT),bank,8600.0,Airtime/Bundles,Dar es Salaam,2,0,1,1500,47,1,0
M-PESA,mobile,87800.0,Airtime/Bundles,Dar es Salaam,22,0,1,579,15,1,0
M-PESA,mobile,2800.0,Bank Transfer,Dodoma,7,1,0,200,16,0,0
Bank Transfers (TIPS/EFT),bank,13800.0,Mobile Money Transfer,Dodoma,17,1,0,1500,51,1,0
TTCL Pesa,mobile,72000.0,Salary Payment,Zanzibar,3,0,0,540,25,1,0
NBC Bank,bank,2800.0,Bill Payment,Arusha,8,1,1,1000,28,1,0
NMB Bank,bank,129900.0,Bank Transfer,Iringa,21,0,0,1000,29,1,0
Bank Transfers (TIPS/EFT),bank,14000.0,Bank Transfer,Dar es Salaam,18,1,1,1500,49,1,0
TTCL Pesa,mobile,73600.0,Mobile Money Transfer,Zanzibar,22,0,0,552,26,1,0
TTCL Pesa,mobile,89300.0,Airtime/Bundles,Arusha,17,1,1,670,25,1,0
Mixx by Yas,mobile,7900.0,Salary Payment,Kigoma,12,1,0,200,25,1,0
Bank Transfers (TIPS/EFT),bank,185600.0,Bank Transfer,Mbeya,14,0,0,1500,46,1,0
NBC Bank,bank,119000.0,Mobile Money Transfer,Zanzibar,15,0,0,1000,28,1,0
Airtel Money,mobile,14100.0,Airtime/Bundles,Mwanza,4,0,1,200,20,1,0
M-PESA,mobile,23100.0,Mobile Money Transfer,Dar es Salaam,17,1,1,200,17,1,0
NBC Bank,bank,149200.0,Salary Payment,Dar es Salaam,21,0,1,1000,29,1,0
NBC Bank,bank,32300.0,Merchant Payment,Kigoma,1,0,0,1000,28,1,0
TTCL Pesa,mobile,169400.0,Mobile Money Transfer,Dar es Salaam,18,1,1,1270,24,1,0
NBC Bank,bank,165200.0,Mobile Money Transfer,Dodoma,15,0,0,1000,30,1,0
M-PESA,mobile,43700.0,Airtime/Bundles,Tanga,12,1,0,288,16,1,0
Mixx by Yas,mobile,49800.0,Salary Payment,Dar es Salaam,21,0,1,339,18,1,0
M-PESA,mobile,322900.0,Bill Payment,Zanzibar,0,0,0,2131,15,1,0
Bank Transfers (TIPS/EFT),bank,48000.0,Mobile Money Transfer,Zanzibar,2,0,0,1500,45,1,0
NBC Bank,bank,379600.0,Merchant Payment,Morogoro,20,1,0,1670,33,1,0
TTCL Pesa,mobile,11600.0,Airtime/Bundles,Dodoma,4,0,0,200,26,1,0
CRDB Bank,bank,58500.0,Merchant Payment,Iringa,10,0,0,1000,26,1,1
AzamPay/Selcom,aggregator,153000.0,Salary Payment,Morogoro,7,1,0,918,20,1,0
CRDB Bank,bank,49600.0,Bank Transfer,Tanga,4,0,0,1000,25,1,0
AzamPay/Selcom,aggregator,165800.0,Salary Payment,Zanzibar,23,0,0,995,20,1,0
CRDB Bank,bank,34200.0,Bank Transfer,Tanga,4,0,0,1000,27,1,0
CRDB Bank,bank,9300.0,Merchant Payment,Dar es Salaam,7,1,1,1000,30,1,0
NBC Bank,bank,54200.0,Salary Payment,Arusha,9,0,1,1000,28,1,0
CRDB Bank,bank,32600.0,Airtime/Bundles,Mbeya,2,0,0,1000,26,1,0
Halo-Pesa,mobile,55000.0,Bill Payment,Kigoma,2,0,0,396,23,1,0
Bank Transfers (TIPS/EFT),bank,55000.0,Bank Transfer,Zanzibar,3,0,0,1500,47,1,0
Airtel Money,mobile,147500.0,Merchant Payment,Kigoma,8,1,0,1032,22,1,0
TTCL Pesa,mobile,7600.0,Mobile Money Transfer,Mwanza,1,0,1,200,26,1,0
Bank Transfers (TIPS/EFT),bank,272700.0,Bank Transfer,Iringa,10,0,0,1500,45,1,0
NMB Bank,bank,113400.0,Bill Payment,Dodoma,2,0,0,1000,28,1,0
Bank Transfers (TIPS/EFT),bank,50800.0,Bank Transfer,Morogoro,6,0,0,1500,47,1,0
Airtel Money,mobile,12500.0,Bank Transfer,Dodoma,1,0,0,200,20,1,0
CRDB Bank,bank,45200.0,Airtime/Bundles,Morogoro,13,1,0,1000,31,1,0
NMB Bank,bank,26600.0,Airtime/Bundles,Morogoro,22,0,0,1000,27,1,0
NBC Bank,bank,57500.0,Salary Payment,Kigoma,16,0,0,1000,30,1,0
Mixx by Yas,mobile,13200.0,Bank Transfer,Arusha,22,0,1,200,20,1,0
NMB Bank,bank,48200.0,Airtime/Bundles,Dar es Salaam,19,1,1,1000,33,0,0
NMB Bank,bank,14300.0,Salary Payment,Arusha,1,0,1,1000,27,1,0
Bank Transfers (TIPS/EFT),bank,23100.0,Bill Payment,Morogoro,6,0,0,1500,47,1,0
Airtel Money,mobile,52500.0,Airtime/Bundles,Dar es Salaam,13,1,1,368,27,1,0
TTCL Pesa,mobile,11600.0,Airtime/Bundles,Mbeya,14,0,0,200,26,1,0
M-PESA,mobile,56300.0,Merchant Payment,Dodoma,0,0,0,372,16,1,0
M-PESA,mobile,19500.0,Mobile Money Transfer,Dar es Salaam,4,0,1,200,16,1,0
AzamPay/Selcom,aggregator,75000.0,Mobile Money Transfer,Kigoma,7,1,0,450,22,1,0
AzamPay/Selcom,aggregator,2700.0,Bank Transfer,Dar es Salaam,5,0,1,300,21,0,0
M-PESA,mobile,9800.0,Bill Payment,Iringa,9,0,0,200,16,1,0
Halo-Pesa,mobile,67900.0,Bank Transfer,Tanga,2,0,0,489,24,1,0
NBC Bank,bank,16900.0,Bank Transfer,Tanga,4,0,0,1000,29,1,0
AzamPay/Selcom,aggregator,166700.0,Mobile Money Transfer,Mwanza,18,1,1,1000,23,1,0
AzamPay/Selcom,aggregator,25500.0,Bill Payment,Arusha,21,0,1,300,21,1,0
NMB Bank,bank,60900.0,Bill Payment,Morogoro,0,0,0,1000,28,1,0
Halo-Pesa,mobile,85100.0,Mobile Money Transfer,Dodoma,21,0,0,613,23,1,0
Mixx by Yas,mobile,36100.0,Bank Transfer,Morogoro,12,1,0,245,25,1,0
Airtel Money,mobile,1700.0,Bank Transfer,Morogoro,4,0,0,200,22,1,0
Airtel Money,mobile,64900.0,Airtime/Bundles,Dar es Salaam,3,0,1,454,21,1,0
NMB Bank,bank,174200.0,Bill Payment,Tanga,0,0,0,1000,29,1,0
CRDB Bank,bank,15100.0,Mobile Money Transfer,Zanzibar,6,0,0,1000,27,1,0
NBC Bank,bank,73600.0,Mobile Money Transfer,Dar es Salaam,11,0,1,1000,29,1,0
TTCL Pesa,mobile,58700.0,Salary Payment,Arusha,1,0,1,440,25,1,0
Halo-Pesa,mobile,15900.0,Airtime/Bundles,Mbeya,17,1,0,200,24,1,0
Mixx by Yas,mobile,55000.0,Bill Payment,Arusha,12,1,1,374,21,1,0
Mixx by Yas,mobile,34200.0,Bill Payment,Arusha,22,0,1,233,19,1,0
M-PESA,mobile,74900.0,Bank Transfer,Mbeya,22,0,0,494,17,1,0
M-PESA,mobile,7700.0,Airtime/Bundles,Iringa,4,0,0,200,16,0,0
Airtel Money,mobile,10500.0,Merchant Payment,Tanga,1,0,0,200,20,1,0
M-PESA,mobile,6400.0,Bank Transfer,Morogoro,2,0,0,200,16,1,0
NMB Bank,bank,101300.0,Mobile Money Transfer,Kigoma,13,1,0,1000,31,1,0
Halo-Pesa,mobile,86500.0,Mobile Money Transfer,Iringa,7,1,0,623,23,0,0
CRDB Bank,bank,3000.0,Bank Transfer,Kigoma,11,0,0,1000,26,1,0
Mixx by Yas,mobile,77100.0,Airtime/Bundles,Dodoma,3,0,0,524,18,1,0
NBC Bank,bank,72000.0,Mobile Money Transfer,Dar es Salaam,5,0,1,1000,29,1,0
TTCL Pesa,mobile,74500.0,Airtime/Bundles,Iringa,8,1,0,559,29,1,0
Halo-Pesa,mobile,34200.0,Airtime/Bundles,Iringa,8,1,0,246,23,1,0
AzamPay/Selcom,aggregator,72600.0,Merchant Payment,Mwanza,22,0,1,436,20,1,0
Airtel Money,mobile,28900.0,Merchant Payment,Mbeya,11,0,0,202,21,1,0
AzamPay/Selcom,aggregator,59000.0,Airtime/Bundles,Iringa,19,1,0,354,25,1,0
NMB Bank,bank,1463000.0,Bank Transfer,Zanzibar,9,0,0,6145,27,1,0
Airtel Money,mobile,29900.0,Mobile Money Transfer,Dar es Salaam,19,1,1,209,25,1,0
NMB Bank,bank,1000.0,Merchant Payment,Mwanza,6,0,1,1000,28,1,0
Mixx by Yas,mobile,153000.0,Mobile Money Transfer,Tanga,13,1,0,1040,25,1,0
Mixx by Yas,mobile,137500.0,Salary Payment,Morogoro,9,0,0,935,20,1,0
Bank Transfers (TIPS/EFT),bank,33100.0,Salary Payment,Zanzibar,0,0,0,1500,46,1,0
Airtel Money,mobile,11100.0,Salary Payment,Tanga,20,1,0,200,21,1,0
Airtel Money,mobile,125000.0,Merchant Payment,Zanzibar,0,0,0,875,22,1,0
NBC Bank,bank,16500.0,Mobile Money Transfer,Mbeya,8,1,0,1000,28,1,0
AzamPay/Selcom,aggregator,63200.0,Mobile Money Transfer,Iringa,13,1,0,379,24,1,0
NBC Bank,bank,149800.0,Merchant Payment,Zanzibar,5,0,0,1000,29,1,0
AzamPay/Selcom,aggregator,39900.0,Bill Payment,Iringa,11,0,0,300,21,1,0
M-PESA,mobile,32700.0,Merchant Payment,Zanzibar,5,0,0,216,15,1,0
Mixx by Yas,mobile,41000.0,Salary Payment,Arusha,22,0,1,279,20,1,0
AzamPay/Selcom,aggregator,30700.0,Mobile Money Transfer,Mbeya,15,0,0,300,21,1,0
AzamPay/Selcom,aggregator,44100.0,Airtime/Bundles,Mwanza,0,0,1,300,22,1,0
NMB Bank,bank,51500.0,Salary Payment,Iringa,7,1,0,1000,32,1,0
NBC Bank,bank,33200.0,Merchant Payment,Morogoro,12,1,0,1000,30,1,0
Airtel Money,mobile,130800.0,Airtime/Bundles,Mwanza,14,0,1,916,21,1,0
Mixx by Yas,mobile,210600.0,Airtime/Bundles,Iringa,0,0,0,1432,20,1,0
M-PESA,mobile,38900.0,Airtime/Bundles,Tanga,20,1,0,257,16,1,0
M-PESA,mobile,46500.0,Merchant Payment,Zanzibar,16,0,0,307,16,1,0
AzamPay/Selcom,aggregator,29600.0,Salary Payment,Zanzibar,1,0,0,300,21,1,1
CRDB Bank,bank,4600.0,Mobile Money Transfer,Arusha,2,0,1,1000,25,1,0
CRDB Bank,bank,99300.0,Merchant Payment,Tanga,15,0,0,1000,25,1,0
CRDB Bank,bank,6700.0,Bill Payment,Kigoma,22,0,0,1000,27,1,0
Airtel Money,mobile,5300.0,Airtime/Bundles,Kigoma,20,1,0,200,22,1,0
AzamPay/Selcom,aggregator,9800.0,Merchant Payment,Kigoma,1,0,0,300,20,1,0
Mixx by Yas,mobile,64800.0,Mobile Money Transfer,Dodoma,18,1,0,441,25,1,0
Halo-Pesa,mobile,87200.0,Bank Transfer,Kigoma,2,0,0,628,22,1,0
CRDB Bank,bank,7000.0,Bank Transfer,Kigoma,11,0,0,1000,26,1,0
NBC Bank,bank,7600.0,Merchant Payment,Arusha,9,0,1,1000,28,1,0
TTCL Pesa,mobile,75300.0,Bill Payment,Dodoma,10,0,0,565,24,1,0
NMB Bank,bank,12400.0,Merchant Payment,Iringa,15,0,0,1000,28,1,0
Bank Transfers (TIPS/EFT),bank,6100.0,Bill Payment,Zanzibar,16,0,0,1500,45,1,0
Bank Transfers (TIPS/EFT),bank,36100.0,Bill Payment,Tanga,15,0,0,1500,45,1,0
Mixx by Yas,mobile,111400.0,Salary Payment,Mbeya,11,0,0,758,19,1,0
AzamPay/Selcom,aggregator,15800.0,Mobile Money Transfer,Iringa,7,1,0,300,21,1,0
AzamPay/Selcom,aggregator,4400.0,Airtime/Bundles,Tanga,4,0,0,300,20,1,0
Halo-Pesa,mobile,31200.0,Salary Payment,Tanga,20,1,0,225,26,1,0
M-PESA,mobile,55400.0,Bill Payment,Dodoma,0,0,0,366,16,1,0
TTCL Pesa,mobile,77600.0,Merchant Payment,Kigoma,4,0,0,582,25,1,0
NBC Bank,bank,91200.0,Bank Transfer,Dodoma,14,0,0,1000,30,1,0
Mixx by Yas,mobile,35700.0,Mobile Money Transfer,Mbeya,5,0,0,243,18,1,0
Airtel Money,mobile,107100.0,Bank Transfer,Dar es Salaam,4,0,1,750,20,1,0
TTCL Pesa,mobile,17100.0,Bill Payment,Kigoma,21,0,0,200,24,1,0
CRDB Bank,bank,8000.0,Bill Payment,Mbeya,2,0,0,1000,27,1,0
NMB Bank,bank,3000.0,Merchant Payment,Iringa,17,1,0,1000,30,1,0
Bank Transfers (TIPS/EFT),bank,1476000.0,Merchant Payment,Morogoro,0,0,0,2952,46,1,0
Halo-Pesa,mobile,253800.0,Salary Payment,Morogoro,8,1,0,1827,27,1,0
Halo-Pesa,mobile,9800.0,Bank Transfer,Tanga,6,0,0,200,22,1,0
NMB Bank,bank,12100.0,Mobile Money Transfer,Arusha,20,1,1,1000,27,1,0
NMB Bank,bank,43800.0,Bill Payment,Tanga,3,0,0,1000,29,1,0
CRDB Bank,bank,24800.0,Bill Payment,Dodoma,15,0,0,1000,27,1,0
Airtel Money,mobile,73000.0,Merchant Payment,Tanga,1,0,0,511,22,1,0
Bank Transfers (TIPS/EFT),bank,16600.0,Bill Payment,Iringa,18,1,0,1500,49,1,0
Airtel Money,mobile,93400.0,Bill Payment,Tanga,2,0,0,654,20,1,0
NMB Bank,bank,89100.0,Merchant Payment,Mwanza,0,0,1,1000,27,1,0
M-PESA,mobile,35500.0,Salary Payment,Iringa,6,0,0,234,17,1,0
NMB Bank,bank,9600.0,Salary Payment,Iringa,10,0,0,1000,28,1,0
Halo-Pesa,mobile,91100.0,Mobile Money Transfer,Iringa,13,1,0,656,25,0,0
Airtel Money,mobile,122000.0,Bank Transfer,Dodoma,4,0,0,854,22,1,0
Halo-Pesa,mobile,49400.0,Mobile Money Transfer,Tanga,16,0,0,356,22,1,0
Airtel Money,mobile,27900.0,Merchant Payment,Arusha,5,0,1,200,21,1,0
AzamPay/Selcom,aggregator,25800.0,Merchant Payment,Iringa,4,0,0,300,21,1,0
TTCL Pesa,mobile,162200.0,Airtime/Bundles,Mbeya,2,0,0,1216,25,1,0
NMB Bank,bank,8900.0,Bill Payment,Tanga,4,0,0,1000,28,1,0
Bank Transfers (TIPS/EFT),bank,16700.0,Bank Transfer,Arusha,15,0,1,1500,47,1,0
TTCL Pesa,mobile,17200.0,Merchant Payment,Arusha,6,0,1,200,26,1,0
AzamPay/Selcom,aggregator,31600.0,Bank Transfer,Dar es Salaam,1,0,1,300,22,1,0
Mixx by Yas,mobile,34700.0,Merchant Payment,Mwanza,20,1,1,236,24,1,0
Halo-Pesa,mobile,29000.0,Merchant Payment,Mwanza,16,0,1,209,24,1,0
NMB Bank,bank,33400.0,Salary Payment,Morogoro,4,0,0,1000,28,1,0
TTCL Pesa,mobile,12200.0,Bill Payment,Iringa,11,0,0,200,24,1,0
TTCL Pesa,mobile,139000.0,Bank Transfer,Dar es Salaam,21,0,1,1042,25,1,0
Halo-Pesa,mobile,51500.0,Airtime/Bundles,Zanzibar,16,0,0,371,23,1,0
Mixx by Yas,mobile,43200.0,Mobile Money Transfer,Zanzibar,13,1,0,294,23,1,0
Airtel Money,mobile,33500.0,Mobile Money Transfer,Mwanza,2,0,1,234,21,0,0
TTCL Pesa,mobile,311400.0,Mobile Money Transfer,Tanga,21,0,0,2336,24,1,0
Airtel Money,mobile,12900.0,Merchant Payment,Dodoma,18,1,0,200,20,1,0
CRDB Bank,bank,95900.0,Merchant Payment,Dar es Salaam,12,1,1,1000,25,1,0
CRDB Bank,bank,270900.0,Bank Transfer,Morogoro,4,0,0,1084,25,1,0
Airtel Money,mobile,28900.0,Airtime/Bundles,Zanzibar,5,0,0,202,20,1,0
M-PESA,mobile,7500.0,Mobile Money Transfer,Zanzibar,15,0,0,200,17,1,0
NBC Bank,bank,213900.0,Airtime/Bundles,Arusha,23,0,1,1000,30,1,0
Mixx by Yas,mobile,25300.0,Bill Payment,Zanzibar,4,0,0,200,20,1,0
TTCL Pesa,mobile,29100.0,Mobile Money Transfer,Dodoma,6,0,0,218,25,1,0
M-PESA,mobile,4700.0,Salary Payment,Kigoma,0,0,0,200,16,1,0
TTCL Pesa,mobile,67900.0,Bank Transfer,Morogoro,23,0,0,509,25,1,0
NMB Bank,bank,7300.0,Airtime/Bundles,Kigoma,8,1,0,1000,33,1,0
NMB Bank,bank,32000.0,Mobile Money Transfer,Arusha,11,0,1,1000,29,0,0
Halo-Pesa,mobile,20900.0,Bank Transfer,Kigoma,22,0,0,200,22,1,0
Halo-Pesa,mobile,140400.0,Mobile Money Transfer,Dodoma,5,0,0,1011,22,1,0
NBC Bank,bank,53200.0,Salary Payment,Iringa,22,0,0,1000,29,1,0
NBC Bank,bank,14700.0,Airtime/Bundles,Dodoma,4,0,0,1000,29,1,0
Halo-Pesa,mobile,127600.0,Salary Payment,Iringa,3,0,0,919,22,1,0
CRDB Bank,bank,6500.0,Merchant Payment,Morogoro,1,0,0,1000,26,1,0
Bank Transfers (TIPS/EFT),bank,17600.0,Airtime/Bundles,Morogoro,20,1,0,1500,45,0,0
TTCL Pesa,mobile,12600.0,Bill Payment,Tanga,23,0,0,200,25,1,0
AzamPay/Selcom,aggregator,27100.0,Bill Payment,Iringa,21,0,0,300,20,1,0
Halo-Pesa,mobile,44800.0,Merchant Payment,Kigoma,19,1,0,323,27,1,0
Bank Transfers (TIPS/EFT),bank,148800.0,Bill Payment,Kigoma,11,0,0,1500,47,1,0
Bank Transfers (TIPS/EFT),bank,75100.0,Bill Payment,Iringa,16,0,0,1500,47,1,0
Halo-Pesa,mobile,17300.0,Airtime/Bundles,Mwanza,12,1,1,200,23,1,0
Mixx by Yas,mobile,1100.0,Merchant Payment,Zanzibar,19,1,0,200,24,1,0
NBC Bank,bank,56300.0,Bank Transfer,Zanzibar,23,0,0,1000,28,1,0
TTCL Pesa,mobile,1700.0,Salary Payment,Iringa,8,1,0,200,27,1,0
Airtel Money,mobile,29300.0,Salary Payment,Dodoma,22,0,0,205,20,1,0
TTCL Pesa,mobile,16000.0,Bill Payment,Arusha,6,0,1,200,25,1,0
Halo-Pesa,mobile,41400.0,Salary Payment,Dodoma,17,1,0,298,22,0,0
M-PESA,mobile,83800.0,Bank Transfer,Arusha,23,0,1,553,15,1,0
M-PESA,mobile,64500.0,Salary Payment,Iringa,18,1,0,426,15,1,0
Halo-Pesa,mobile,11400.0,Bank Transfer,Dar es Salaam,14,0,1,200,22,1,0
NBC Bank,bank,63300.0,Mobile Money Transfer,Iringa,20,1,0,1000,28,1,0
NBC Bank,bank,56100.0,Airtime/Bundles,Kigoma,2,0,0,1000,28,1,0
AzamPay/Selcom,aggregator,19300.0,Bill Payment,Zanzibar,9,0,0,300,21,1,0
CRDB Bank,bank,14700.0,Salary Payment,Arusha,2,0,1,1000,25,1,0
AzamPay/Selcom,aggregator,3900.0,Merchant Payment,Mwanza,8,1,1,300,21,1,0
NBC Bank,bank,2400.0,Salary Payment,Zanzibar,10,0,0,1000,28,1,0
CRDB Bank,bank,279400.0,Bank Transfer,Morogoro,17,1,0,1118,30,1,0
NBC Bank,bank,33400.0,Salary Payment,Zanzibar,22,0,0,1000,28,1,0
Halo-Pesa,mobile,57200.0,Mobile Money Transfer,Morogoro,14,0,0,412,22,1,0
TTCL Pesa,mobile,41800.0,Bill Payment,Iringa,9,0,0,314,26,1,0
CRDB Bank,bank,29400.0,Bank Transfer,Arusha,14,0,1,1000,27,1,0
CRDB Bank,bank,111000.0,Airtime/Bundles,Mbeya,9,0,0,1000,26,1,0
Bank Transfers (TIPS/EFT),bank,30200.0,Airtime/Bundles,Mbeya,6,0,0,1500,46,1,0
M-PESA,mobile,27000.0,Bank Transfer,Mbeya,22,0,0,200,16,1,0
Mixx by Yas,mobile,24400.0,Merchant Payment,Mwanza,14,0,1,200,19,1,0
NMB Bank,bank,68200.0,Mobile Money Transfer,Tanga,19,1,0,1000,34,1,0
AzamPay/Selcom,aggregator,20700.0,Bill Payment,Tanga,14,0,0,300,22,1,0
TTCL Pesa,mobile,23300.0,Salary Payment,Iringa,9,0,0,200,24,1,0
M-PESA,mobile,171000.0,Merchant Payment,Dodoma,20,1,0,1129,18,1,0
NMB Bank,bank,10200.0,Salary Payment,Dodoma,6,0,0,1000,27,1,0
CRDB Bank,bank,32000.0,Merchant Payment,Morogoro,14,0,0,1000,25,1,0
NBC Bank,bank,135600.0,Bank Transfer,Zanzibar,18,1,0,1000,35,1,0
Mixx by Yas,mobile,41400.0,Bank Transfer,Dar es Salaam,19,1,1,282,20,1,0
Mixx by Yas,mobile,37900.0,Bill Payment,Iringa,2,0,0,258,20,0,0
M-PESA,mobile,78600.0,Bill Payment,Mwanza,2,0,1,519,17,1,0
TTCL Pesa,mobile,8200.0,Mobile Money Transfer,Mwanza,2,0,1,200,25,1,0
TTCL Pesa,mobile,15000.0,Salary Payment,Mwanza,3,0,1,200,26,1,0
Halo-Pesa,mobile,30900.0,Merchant Payment,Mwanza,6,0,1,222,23,1,0
Halo-Pesa,mobile,3700.0,Bill Payment,Dodoma,15,0,0,200,22,1,0
NMB Bank,bank,90300.0,Bank Transfer,Tanga,4,0,0,1000,29,1,0
CRDB Bank,bank,149000.0,Mobile Money Transfer,Morogoro,9,0,0,1000,26,1,0
NBC Bank,bank,64300.0,Bank Transfer,Mwanza,9,0,1,1000,30,1,0
Airtel Money,mobile,166900.0,Airtime/Bundles,Dodoma,1,0,0,1168,20,1,0
TTCL Pesa,mobile,23300.0,Airtime/Bundles,Arusha,12,1,1,200,26,1,0
TTCL Pesa,mobile,9300.0,Bank Transfer,Dar es Salaam,9,0,1,200,26,1,0
CRDB Bank,bank,62400.0,Airtime/Bundles,Zanzibar,12,1,0,1000,28,1,0
Airtel Money,mobile,29400.0,Bank Transfer,Mwanza,11,0,1,206,20,1,0
NMB Bank,bank,49400.0,Bill Payment,Mwanza,20,1,1,1000,33,1,0
Airtel Money,mobile,48800.0,Bill Payment,Dar es Salaam,2,0,1,342,21,0,0
NBC Bank,bank,5000.0,Salary Payment,Kigoma,15,0,0,1000,30,1,0
Airtel Money,mobile,45300.0,Airtime/Bundles,Arusha,22,0,1,317,22,1,0
CRDB Bank,bank,48400.0,Merchant Payment,Mbeya,13,1,0,1000,29,1,0
NMB Bank,bank,5600.0,Mobile Money Transfer,Tanga,21,0,0,1000,28,1,0
M-PESA,mobile,147400.0,Salary Payment,Dodoma,17,1,0,973,15,1,0
Bank Transfers (TIPS/EFT),bank,466600.0,Bank Transfer,Morogoro,9,0,0,1500,46,1,0
Airtel Money,mobile,8800.0,Mobile Money Transfer,Iringa,6,0,0,200,21,1,0
Bank Transfers (TIPS/EFT),bank,10200.0,Salary Payment,Zanzibar,12,1,0,1500,46,1,0
